review_id,source_url,lecture_id,course_name,professor,semester,rating,raw_review_text
2980989-001,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,그냥 전공 1학점 따기 개꿀인 과목. 매 주차마다 보고서 쓰긴하는데 부담엊ㅅ음
2980989-002,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,전공 1학점 채우기 goat - p/f라 과제도 주마다 래포트 한장 하나끝. 도전학기 2학점 듣고 1학점 메우기 좋습니다.
2980989-003,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,다양한 주제에 대한 강의를 매주 듣고 매주 과제가 하나 나왔습니다. 유익했습니다.
2980989-004,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,도전학기 하고 1학점 남았을때 쌀먹하게 아주 좋은 과목 일주일에 한번씩 리포트 작성 어렵지 않음
2980989-005,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,1학점 남으면 듣기 좋고 저학년 때 들으면 교수님들 연구분야 알 수 잇어서 좋아요
2980989-006,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,다양한 연구 분야를 알 수 있는 좋은 수업입니다.
2980989-007,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,"꿀강입니다. 매주 레포트 제출 있는데, 기간도 2주고 금방 쓸 수 있습니다."
2980989-008,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,매주 짧은 강의 듣고 보고서 작성하면 되는 패논패 과목입니다
2980989-009,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,그냥 영상 대충 보고 레포트 대충 작성하면 됩니다
2980989-010,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,매주 올리시는 영상 보고 양식에 맞게 과제하고 재출하면 하면 끝!!
2980989-011,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 1학기 수강자,5,다양한 분야를 알아갈수있어요 패논패라 부담없는 수업
2980989-012,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,다양한 교수의 전문분야를 접할 수 있는 촤고의수업
2980989-013,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,개꿀과목 진짜 꼭들으세요 제발 안들으면 후회한다 꼭들어라
2980989-014,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,개꿀 보고서도 그냥 날먹이고 부담 없어요. 강의도 30분 정도
2980989-015,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,꿀강 pf임 매주 강의 2배속으로 듣고 보고서쓰면 되는데 나는 녹음하고 ai돌려서 냄 ㅋㅋ
2980989-016,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,4,다양한 분야 찍먹해보기 좋은 강의. 매주 간단한 레포트 과제있습니다.
2980989-017,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,교수님의 설명이 명확하고 전달력이 뛰어나요 !!
2980989-018,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,전공 관련해서 다양한 분야 소개정도인데 가볍게 듣기 좋고 관심 가는 분야는 재밌게 강의 들을 수 있습니다 매주 레포트만 작성하면 돼요
2980989-019,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,26년 1학기 수강자,5,매주 레포트 제출이 살짝 귀찮긴 하지만 전공 1학점을 pf 로 받을 수 있어서 좋은 과목이에요 부담 없습니다~~
2980989-020,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,여러 분야에 대해 간략히 배우고 논문 발표도 듣고 좋아요
2980989-021,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,"매주 연구실이나 학회 논문 발표한 내용들 10~30분정도 영상 시청한 다음에 반페이지 분량으로 매주 레포트를 제출합니다. 학교에서 다양한 연구실의 내용들을 넓게 보기 좋았고, 관심없는 내용들도 온라인이니까 빨리빨리 넘기면서 수강했습니다!"
2980989-022,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,매주 연구에 대한 강의 가 올라오고 그 강의에 대한 요약과 느낀점을 작성해야 합니다. 다양한 분야에서 어떤 연구가 가능한지 알고 싶다면 유익한 수업이지만 매주 리포트 제출 때문에 귀찮아질 수 있긴 합니다. 하지만 저는 유익함 때문에 많은 걸 얻었다고 생각합니다.
2980989-023,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,매주 연구 강의 올라오고 그것에 대해 comment랑 summary형태로 보고서 작성하면됩니다 유익한 강의가 올라와서 좋았습니다
2980989-024,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,매주 올라오는 연구 소개 영상보고 요약및 느낀점 적으면 돼요. 마음 편하게 들을 수 있어서 좋았어요
2980989-025,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,매주 과제가 있는데 부담없이 하기 좋은 강의입니다~
2980989-026,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,다양한 분야를 알수있어서 좋아요. 매주 레포트가 있는데 그것도 1시간도 안걸려요ㅔ
2980989-027,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,다양한 연구실에서 진행하는 다양한 주제의 연구들에 대해 알 수 있습니다 과제는 주차마다 영상 올라오는 것 보고 리포트 짧게 (A4 용지 0.5 페이지 정도) 쓰면 됩니다. 그 외에는 별로 어려운 점이 없습니다!
2980989-028,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,"무난한 수업입니다. 여러 교수님들의 연구실 소개 영상을 보고 내용 및 감상을 요약해서 리포트 형식으로 제출하기만 하면 끝입니다. 매주 리포트를 써야하는건 귀찮지만, 그것만 하면 됩니다."
2980989-029,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,부담없이 듣기 좋은 강의입니다. 다양한 분야의 세미나를 들을 수 있습니다. 매주 리포트를 작성하면 되는데 분량이 적어서 부담 없습니다.
2980989-030,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,"교수님들 연구 분야를 알 수 있는 세미나입니다. 대학원 가고 싶거나 URP, 학부연구생 하고 싶으시면 꼭 들어보세요. 매주 세미나 듣고 강의 내용 정리, 소감문 반페이지만 쓰면 됩니다. 시험이 없어서 부담없이 학점 채우기 좋네요"
2980989-031,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,컴퓨터공학세미나 추천합니다. 유익한 강의입니다. 과제도 어렵지 않습니다.
2980989-032,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,강의 내용이 유익하고 여러 교수님들 연구분야 알수있어서 좋아요
2980989-033,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 2학기 수강자,5,온라인으로 진행되고 매주 리포트 과제가 있어요.
2980989-034,https://everytime.kr/lecture/view/2980989,2980989,컴퓨터공학세미나,이종욱,25년 1학기 수강자,5,"학점 부족할 때 듣기 딱 좋은 세미나 강의입니다. 매주 올라오는 교수님들의 연구 설명, 랩 설명 등을 포함한 세미나로 흥미롭게 들었습니다."
1688927-001,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,26년 1학기 수강자,5,일반적인 캡스톤디자인 수업입니다. 실습비도 넉넉하게 지원해주시고 학생들이 하고싶은것들 해볼 수 있게 하시는 편이에요 편의도 많이 봐주시고 좋았습니다
1688927-002,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,26년 1학기 수강자,5,너무 좋은 것 같습니다 편의도 잘버ㅏ주셔요 짱짱!!!
1688927-003,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,20년 1학기 수강자,4,무난하게 들으시면 됩니다~ 아쉬운거는 초반에는 저희가 아이디어 짜서 하라고하지만 나중에가서는 교슈님이 연구하시는거 관련햐서 하라고 하세요
1688927-004,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,20년 1학기 수강자,5,프로젝트형 수업 선호하시면 추천드리는 수업입니다.
1688927-005,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,19년 2학기 수강자,5,교수님 연구실내 프로젝트랑 연관성이 있는 주제로 진행했습니다. 이번 학기 중 2/3는 주제 잡는 것에 토론식으로만 진행했고 1/3이 정해진 주제에 대한 결과물 내는 기간이었는데 운좋게도 같은조 6명(석사3명학사3명) 중 교수님 연구실의 석사연구생 분들이 실질적 연구 및 성과물 제작을 주도하였고 학부생인 저는 옆에서 거의 구경만하다 종강했어요. 아직 학점은 안나왔는데 에이플 주실 것 같아요. 조준동 교수님 캡스톤 수업이 학석수업이다보니 절대평가로 에플 아니면 에이만 주시고 보통 에플 주는것같아요. 결론. 남는 거는 없지만 돈주고 학점 사고싶으신 분들에겐 추천합니다.
1688927-006,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,17년 2학기 수강자,4,그냥 일반 캡스톤 디자인 수업과 진행은 크게 다르지 않습니다. 프로젝트를 하고 있는게 있거나 하고 싶은거 있으면 들으세요. 대학원생이랑 같이 들을 수 있어서 학점 제한이 없습니다. 초반에 수업 진행 방식이 결정이 안되서 갈팡질팡하긴 했는데 어쨌든 프로젝트 성과물을 가져오기만 하면 점수는 주십니다.
1688927-007,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,17년 2학기 수강자,4,"팀을 정해서 지도교수님을 정하고 매주 수업시간마다 회의를 하게 됨. 솔직히 그렇게 뭐 빡빡하고 그러진 않음. 근데 JD조 교수님은 거의 모든 결과물에 대해 항상 부정적이니 그 부분은 감안하고(스트레스 많이 받을 수도), 대신 학점은 학석 과목이라 절대 걱정 안 해도 될 듯. 그렇게 안 바쁜 학기면 수강 추천"
1688927-008,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,17년 2학기 수강자,5,개꿀 좀더성의있는내용을작성부탁드립니다.
1688927-009,https://everytime.kr/lecture/view/1688927,1688927,심화융합캡스톤디자인,조준동,17년 2학기 수강자,5,시험 없음 대신 융캡과 마찬가지로 결과물을 만들어야됨 지원금 풍족하게 주니 스트레스 덜하나 뭔가 만든다는게 보통일이 아닌지라 팀원이 없다면 함부로 듣지말것 학점은 학석수업이라 걱정 ㄴ
42277-001,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,3,플립러닝이라 편하긴한데 과제가 매주 있고 조별 당 한명씩 돌아가며 발표해야한다. 교수님은 인자하시나 강의력이 좋으신지는 모르겟다
42277-002,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,3,그냥 교수님이 독학하라고 만든 강의 같음. 셤이 족보에서 나와서 편하긴 함
42277-003,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,1,강의력도 별로고 과제가 그냥 개화딱지남 Problem 3.100 풀어라 해서 교재 펴서 해당 문제 찾아보면 Problem 3.50를 matlab으로 반복해라 해서 또 problem 3.50 찾아보면 example 3.23 에서 ~조건일때로 풀어라 해서 또 example 3.23 찾아보면 figure 3.10을 보고 ~해라 해서 또 figure 찾고 야발 이게 보물찾기인가 아니 그냥 좀 한 번에 내면 문제가 생기나??? 시험은 쉬운 문제~좀 복잡한 문제까지 다양하게 많이 있어서 좋은 편인데 매주 과제 풀고 조별로 한명씩 발표해야되는게 살짝 부담됨
42277-004,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,2,과제도 과제인데 강의가 코로나때 찍은 듯한 강의임 좋은점은 플립러닝이다 정도?
42277-005,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,3,과제가 너무 많음 수업은 플립으로 진행되나 잘 모르겠음
42277-006,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,3,플립인데 교수님이 10-20분 교안 요약하시고 나머지는 학생들 발표임 매주 조별로 돌아가면서 나와서 발표해야함
42277-007,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,3,과제 너무 많음. 매주 조에서 1명씩 나와서 발표해야 됨. 교수님이 하는 건 하나도 없는듯.
42277-008,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,3,교수님 자체는 좋으시지만 녹강을 올려주시는데 중간에 갑자기 스킵하거나 녹강마다 연결이 안되면서 뒤죽박죽이고 강의력도 좋은 편은 아니셔서 그냥 독학해야합니다. 매주 과제 풀어서 조별로 발표도 해냐하고요.
42277-009,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,3,플립러닝인데 강의는 예전에 녹화한 거 올려주시고 수업시간은 미리 준 퀴즈 풀고 발표하는 형식 퀴즈 중에 매트랩 문제나 교재에 있는 문제 풀라고 나오면 찾아서 하기 매우 귀찮다 과제는 퀴즈 푼 거 올리는 형식인데 매주 있어 이것도 귀찮음
42277-010,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,4,강의는 그냥 무난했고 시험은 족보가 있어야 잘 푸실 수 있습니다
42277-011,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,3,온라인 강의가 뒤죽박죽이라 듣기가 힘들다..
42277-012,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,26년 1학기 수강자,1,이게 뭐노.......수업 레전드 날먹인듯 교수님이
42277-013,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,4,족보만 있으면 수업 편해요. 수업은 교수님 개념설명 위주로하시고 개념문제가 많이나와요
42277-014,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,4,솔직히 듣기 쉽지 않은 것 같다. 정신 바짝 차리고 따라가야함. 안그러면 무조건 진도 놓침
42277-015,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,5,강의력은 애매하지만 겨수님 친절하시고좋아요
42277-016,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,3,시험은 중간은 조금 어려웠고 기말은 족보대로 나왔습니다. 강의력이 좋지는 않으나 교안에 다 나와있고 과제로 내주시는 문제들 풀어보면 시험에 지장은 없을껍니다.
42277-017,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,4,수업이 조금 지루하지만 시험 자체는 족보를 타서 그렇게 어렵지는 않았습니다
42277-018,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,3,사실상 족보싸움입니다 누가누가 족보를 잘 푸냐 교수님 강의력은 아쉬움이 많은거 맞습니다 근데 내용을 자세히 보면 딱 필요한것만 말씀하시긴 하는데 그게 전달력이 안 좋을뿐입니다 독학 잘 하셔야합니다
42277-019,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,1,장점이 없다. 출튀가 쉽다는 거 빼고는. 족보 구하고 독학 열심히 하면된다
42277-020,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,3,강의 전달력이 목소리 졸리셔서 그런지 듣기가 힘듦 강의력은 나쁘시지 않으신듯 신시 자체가 어려운데 족보랑 엄청 겹치게 내서 점수는 엄청 높다.
42277-021,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,3,"다들 하는 얘기지만 강의력은 안 좋지만, 교수님 자체는 좋으십니다. 족보 챙기세요"
42277-022,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,1,"없어져야하는 과목, 수업은 뭐 워낙 개인차 심하니까 넘어간다 쳐도, 시험은 족보 도배ㅋㅋㅋ그냥 족보 사재기 많이 하면 100점ㅋㅋ시험 어려워도 다 족보있어서 평균 높고 족보 없어면 그냥 드랍ㄱㄱ"
42277-023,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,5,"신호 및 시스템이라는 과목 특성상 뭘 배우는지 모를때가 한번씩 생기는데, 그럴땐 책에 있는 그래프에 집중해보면 됩니다 절대 식으로 푸는 과목이 아니에오"
42277-024,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,3,별로다 배우는 것도 없고 교수님 강의력도 별로 반제면 그냥 들으시고 족보 구하시고
42277-025,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,4,느긋함을 인격화한 느낌. 수업 들을 때 최소 2배속은 해야함. 강의력이 좋으시진 않지만 착하시고 시험도 무난함
42277-026,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,4,졸려요... 하지만 포인트를 놓치지 않기 위해선 집중합시다
42277-027,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,4,교수님은 엄청 착하십니다!! 근데 강의력은 그저 그럽니다..
42277-028,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,25년 1학기 수강자,5,교수님 친절하시고 잘 가르쳐 주십니다 좋아요!!!!!!
42277-029,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,5,교수님 정말 친절하시고 잘 가르쳐주셔서 좋았습니다.
42277-030,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,5,수업 듣다보면 꽤 졸리긴 한데 이거만 이겨내면 꽤 좋은 수업 같습니다! 저는 교수님 강의력 좋다고 느껴졌어요
42277-031,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,4,교수님 강의력이 좋진 않으시긴 하나 친절하시긴 합니다... 물론 독학이 동반되긴 하지만 시험은 족보 내용과 연관되어 출제되는 경우가 많으니 족보 구해서 공부하시면 어떻게든 될겁니다...
42277-032,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,3,강의녹화 잘 올려주시고 과목이 난이도가 있어서 그렇지 교수님 강의력은 좋으신것 같습니다 족보 그대로 나오지는 않고 살짝씩 변형되서 많이 나오니 족보 교안 잘 공부해가시면 됩니다 과제는 해가기만 하면 점수 후하게 주십니다
42277-033,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,5,"말씀이 느리셔서 졸림. 하지만 막상 들어보면 강의되게 친절하게 하시고, 신호처리 분야를 더 공부하고 싶게 만들어주심. 매트랩 과제는 적당한 수준. 시험이 많이 어렵다..."
42277-034,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,4,"교수님이 정말 젠틀, 스윗하십니다. 강의도 착실하고 정직하게 진행하십니다. 하지만 신시 난이도가 꽤 있기 때문에 혼자 공부도 꼭 하셔야합니다."
42277-035,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,4,"출석-전자출결 과제-4번 정도? 과제 점수도 중요하니 안깎이도록 주의하세요. 시험-족보싸움. 개념문제 많이 나오는데, 족보 개념 문제 여러번 풀고 가세요. 그리고 나머지 문제들도 족보에서 어느정도 나오는 것 같습니다. 족보 많이 타기는 하지만, 기본 계산 문제 정도는 풀 수 있는 수준은 되어야 합니다. 성적-A+은 진짜 안주시는것 같습니다. 한 15%정도? 저는 중간 기말 모두 평균보다 10점 정도 높게 받아서 A0받았습니다. 수업- 수업시간에 시험문제 알려주실때가 있으니 수업은 열심히 들으세요."
42277-036,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,5,족보도 중요한데 기본 실력도 있어야 하니 공부 충분히 하고 시험 들어가세요. 과제는 matlab이 살짝 짜증날 수 있습니다.
42277-037,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,3,수업을 열심히 하시지만 강의력이 좋은 편은 아니십니다 하지만 전체 흐름 이해를 한 번 하고 들어보면 핵심만 콕 짚으시니 강조하시는 걸 잘 체크하면 공부가 쉬울 겁니다 과제는 챕터마다 나오는데 양은 꽤 많지만 기간이 넉넉해서 여유롭게 할 수 있을 겁니다 성적은 나열해놓고 갭 차이 나는 데서 끊으시는 것 같아요 에이쁠 비율은 매우 적으니 에이쁠이 목표라면 1등 하겠다는 마음으로 하셔야 할 듯
42277-038,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,4,과제 가끔 나오고 여유 있게 기간 주십니다. 시험은 족보 구하세요
42277-039,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,24년 1학기 수강자,4,강의력은 그닥 좋진 않으십니다만 학생의 눈높이에서 열심히 알려주려고 하십니다. 8주차 이전 기준으로 과제 2개 나왔는데 그리 쉬운 난이도는 아닌 것 같습니다.
42277-040,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,22년 1학기 수강자,2,족보 싸움임. 족보가 중요하더라도 강의력이 좋으면 문제 없는데 여탸까지 들어본 과목 중 강의력이 진짜 제일 안 좋음. 반제 아닌 이상 다른 분꺼 들으시길. 성적도 잘 안줍니다
42277-041,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,22년 1학기 수강자,3,A+을 받았으나 사실 누가누가 족보 잘 외웠냐로 시험 점수가 거의 결정되서 이 과목에 대해 뭘 안다고 말할 수가 없네요 학점 따기는 비교적 수월하지만 남는게 없는 듯 합니다
42277-042,https://everytime.kr/lecture/view/42277,42277,신호및시스템,신지태,22년 1학기 수강자,3,수업을 들어도 혼자 공부할 시간이 깁니다. 수업은 거의 교안을 보고 따라 읽으시는데 배우는 내용에 의미부여를 특별히 해주지 않으셔서 그걸 제가 결국 혼자 다 해야하는...
